date;category;value
01.07.2022;Всего;4783.56
01.07.2022;Непродовольственные товары;1751.4
01.07.2022;Общественное питание;191.54
01.07.2022;Продовольственные товары;1772.86
01.07.2022;Услуги;1067.75
01.06.2022;Всего;4678.49
01.06.2022;Непродовольственные товары;1700.35
01.06.2022;Общественное питание;185.85
01.06.2022;Продовольственные товары;1739.64
01.06.2022;Услуги;1052.65
01.05.2022;Всего;4639.64
01.05.2022;Непродовольственные товары;1676.05
01.05.2022;Общественное питание;182.83
01.05.2022;Продовольственные товары;1750.28
01.05.2022;Услуги;1030.48
01.04.2022;Всего;4615.77
01.04.2022;Непродовольственные товары;1666.47
01.04.2022;Общественное питание;180.93
01.04.2022;Продовольственные товары;1722.64
01.04.2022;Услуги;1045.73
01.03.2022;Всего;5016.01
01.03.2022;Непродовольственные товары;1981.92
01.03.2022;Общественное питание;177.81
01.03.2022;Продовольственные товары;1792.66
01.03.2022;Услуги;1063.62
01.02.2022;Всего;4488.84
01.02.2022;Непродовольственные товары;1751.5
01.02.2022;Общественное питание;167.57
01.02.2022;Продовольственные товары;1548.53
01.02.2022;Услуги;1021.25
01.01.2022;Всего;4452.34
01.01.2022;Непродовольственные товары;1728.24
01.01.2022;Общественное питание;170.16
01.01.2022;Продовольственные товары;1538.06
01.01.2022;Услуги;1015.87
01.12.2021;Всего;5421.43
01.12.2021;Непродовольственные товары;2190.8
01.12.2021;Общественное питание;188.36
01.12.2021;Продовольственные товары;1985.03
01.12.2021;Услуги;1057.25
01.11.2021;Всего;4585.24
01.11.2021;Непродовольственные товары;1806
01.11.2021;Общественное питание;164.97
01.11.2021;Продовольственные товары;1626.76
01.11.2021;Услуги;987.5
01.10.2021;Всего;4648.63
01.10.2021;Непродовольственные товары;1847.68
01.10.2021;Общественное питание;177.26
01.10.2021;Продовольственные товары;1635.87
01.10.2021;Услуги;987.81
01.09.2021;Всего;4586.14
01.09.2021;Непродовольственные товары;1849.6
01.09.2021;Общественное питание;182.17
01.09.2021;Продовольственные товары;1564.02
01.09.2021;Услуги;990.35
01.08.2021;Всего;4584.2
01.08.2021;Непродовольственные товары;1877.28
01.08.2021;Общественное питание;169.85
01.08.2021;Продовольственные товары;1559.88
01.08.2021;Услуги;977.19
01.07.2021;Всего;4409.06
01.07.2021;Непродовольственные товары;1765.41
01.07.2021;Общественное питание;159.61
01.07.2021;Продовольственные товары;1544.89
01.07.2021;Услуги;939.15
01.06.2021;Всего;4305.71
01.06.2021;Непродовольственные товары;1701.21
01.06.2021;Общественное питание;156.36
01.06.2021;Продовольственные товары;1505.49
01.06.2021;Услуги;942.66
01.05.2021;Всего;4250.64
01.05.2021;Непродовольственные товары;1678.83
01.05.2021;Общественное питание;157.75
01.05.2021;Продовольственные товары;1490.73
01.05.2021;Услуги;923.33
01.04.2021;Всего;4213.02
01.04.2021;Непродовольственные товары;1653.34
01.04.2021;Общественное питание;154.85
01.04.2021;Продовольственные товары;1464.95
01.04.2021;Услуги;939.88
01.03.2021;Всего;4159.85
01.03.2021;Непродовольственные товары;1622.26
01.03.2021;Общественное питание;148.62
01.03.2021;Продовольственные товары;1462.49
01.03.2021;Услуги;926.47
01.02.2021;Всего;3796.68
01.02.2021;Непродовольственные товары;1448.63
01.02.2021;Общественное питание;135.67
01.02.2021;Продовольственные товары;1348.55
01.02.2021;Услуги;863.83
01.01.2021;Всего;3813.76
01.01.2021;Непродовольственные товары;1476.75
01.01.2021;Общественное питание;135.95
01.01.2021;Продовольственные товары;1365.56
01.01.2021;Услуги;835.5
